   0  15.500 Hi 75             
 657  79.    Hi 75             
 658  80.    Hi 75             
 659  81.    Hi 75             
 660  82.    Hi 75             
 661  83.    Hi 75             
 662  84.    Hi 75 m           
 663  85.    Hi 75             
 664  86.    Hi 75 m           
 665  87.    Hi 75             
 666  88.    Hi 75             
 667  89.    Hi 75             
 668  90.    Hi 75             
 669  91.    Hi 75             
 670  92.    Hi 75             
 671  93.    Hi 75             
 672  94.    Hi 75             
 673  95.    Hi 75             
 674  96.    Hi 75             
 675  97.    Hi 75             
 676  98.    Hi 75             
 677  99.    Hi 75             
 678 100.    Hi 75             
 679 101.    Hi 75 m           
 680 102.    Hi 75             
 681 103.    Hi 75             
 682 104.    Hi 75             
 683 105.    Hi 75             
 684 106.    Hi 75             
 685  14.    Hi 75             
 686  15.    Hi 75             
 687  16.    Hi 75 m           
 688  17.    Hi 75             
 689  18.    Hi 75 m           
 690  32.    Hi 75             
 691  33.    Hi 75             
 692  34.    Hi 75             
 693  35.    Hi 75             
 694  36.    Hi 75             
 695  64.    Hi 75             
 696  66.    Hi 75 m           
 697 107.    Hi 75             
 698 108.    Hi 75             
 699 109.    Hi 75             
 700 110.    Hi 75             
 701 111.    Hi 75             
 702 112.    Hi 75             
 703 113.    Hi 75             
 704 114.    Hi 75             
 705 115.    Hi 75             
 706 116.    Hi 75             
 707 117.    Hi 75             
 708 118.    Hi 75             
 709 119.    Hi 75             
 710 120.    Hi 75             
 711 121.    Hi 75 m           
 712 122.    Hi 75             
 713 123.    Hi 75             
 714 124.    Hi 75             
 715 125.    Hi 75             
 716 126.    Hi 75             
 717 127.    Hi 75             
 718 128.    Hi 75             
 719 129.    Hi 75 m           
 720 130.    Hi 75             
 721 131.    Hi 75             
 722 132.    Hi 75 m           
 723 133.    Hi 75             
 724 134.    Hi 75             
 725 135.    Hi 75             
 726 136.    Hi 75             
 727 137.    Hi 75             
 728 138.    Hi 75             
 729 139.    Hi 75             
 730 140.    Hi 75             
 731 141.    Hi 75             
 732 142.    Hi 75             
 733 143.    Hi 75             
 734 144.    Hi 75             
 735 145.    Hi 75 m           
 736 146.    Hi 75             
 737 147.    Hi 75             
 738 148.    Hi 75             
 739 149.    Hi 75             
 740 150.    Hi 75             
 741  20.    Hi 75 m           
 742  21.    Hi 75             
 743  22.    Hi 75             
 744  23.    Hi 75             
 745  24.    Hi 75             
 746  25.    Hi 75             
 747  26.    Hi 75             
 748  27.    Hi 75             
 749  28.    Hi 75             
 750   2.    Hi 75 m           
 751   3.    Hi 75             
 752   4.    Hi 75 m           
 753   5.    Hi 75             
 754   6.    Hi 75             
 755   7.    Hi 75             
 756   8.    Hi 75             
 757   9.    Hi 75             
 758  10.    Hi 75             
 759  11.    Hi 75             
 760  12.    Hi 75             
 761  13.    Hi 75             
 762  14.    Hi 75             
 763  15.    Hi 75             
 764  16.    Hi 75 m           
 765  17.    Hi 75             
 766  18.    Hi 75             
 767  19.    Hi 75             
 768  29.    Hi 75             
 769  30.    Hi 75             
 770  31.    Hi 75             
 771  32.    Hi 75 m           
 772  33.    Hi 75             
 773  34.    Hi 75             
 774  35.    Hi 75             
 775  36.    Hi 75             
 776  37.    Hi 75             
 777  38.    Hi 75             
 778  39.    Hi 75             
 779  40.    Hi 75 m           
 780  41.    Hi 75             
 781  42.    Hi 75             
 782  43.    Hi 75             
 783  44.    Hi 75             
 784  45.    Hi 75             
 785  46.    Hi 75             
 786  47.    Hi 75             
 787  48.    Hi 75             
 788  49.    Hi 75             
 789  50.    Hi 75             
 790  51.    Hi 75             
 791  52.    Hi 75 m           
 792  53.    Hi 75             
 793  54.    Hi 75             
 794  55.    Hi 75             
 795  56.    Hi 75             
 796  57.    Hi 75             
 797  58.    Hi 75             
 798  59.    Hi 75             
 799  60.    Hi 75 m           
 800  61.    Hi 75             
 801  62.    Hi 75             
 802  63.    Hi 75             
 803  64.    Hi 75             
 804  65.    Hi 75             
 805  66.    Hi 75 m           
 806  14.    Hi 75             
 807  15.    Hi 75             
 808  16.    Hi 75 m           
 809  17.    Hi 75             
 810  18.    Hi 75             
 811  32.    Hi 75             
 812  33.    Hi 75             
 813  34.    Hi 75             
 814  35.    Hi 75             
 815  36.    Hi 75             
 816  64.    Hi 75             
 817  66.    Hi 75             
 818  67.    Hi 75             
 819  68.    Hi 75             
 820  69.    Hi 75             
 821  70.    Hi 75             
 822  71.    Hi 75 m           
 823  72.    Hi 75             
 824  73.    Hi 75             
 825  74.    Hi 75             
 826  75.    Hi 75             
 827  76.    Hi 75             
 828  77.    Hi 75             
 829  78.    Hi 75             
 830  79.    Hi 75             
 831  80.    Hi 75 m           
 832  81.    Hi 75             
 833  82.    Hi 75             
 834  83.    Hi 75             
 835  84.    Hi 75 m           
 836  85.    Hi 75             
 837  86.    Hi 75             
 838  87.    Hi 75             
 839  88.    Hi 75             
 840   2.    Hi 75 m           
 841  89.    Hi 75             
 842  90.    Hi 75             
 843  91.    Hi 75             
 844  92.    Hi 75             
 845  93.    Hi 75             
 846  94.    Hi 75             
 847  95.    Hi 75             
 848  96.    Hi 75             
 849  97.    Hi 75             
 850  98.    Hi 75             
 851  99.    Hi 75             
 852 100.    Hi 75             
 853 101.    Hi 75             
 854 102.    Hi 75             
 855 103.    Hi 75 m           
 856 104.    Hi 75             
 857 105.    Hi 75             
 858 106.    Hi 75             
 859  14.    Hi 75             
 860  15.    Hi 75             
 861  16.    Hi 75 m           
 862  17.    Hi 75             
 863  18.    Hi 75             
 864  32.    Hi 75 m           
 865  33.    Hi 75             
 866  34.    Hi 75             
 867  35.    Hi 75             
 868  36.    Hi 75             
 869  64.    Hi 75             
 870  66.    Hi 75             
 871 107.    Hi 75             
 872 108.    Hi 75             
 873 109.    Hi 75             
 874 110.    Hi 75             
 875 111.    Hi 75             
 876 112.    Hi 75             
 877 113.    Hi 75             
 878 114.    Hi 75             
 879 115.    Hi 75 m           
 880 116.    Hi 75             
 881 117.    Hi 75             
 882 118.    Hi 75             
 883 119.    Hi 75             
 884 120.    Hi 75             
 885 121.    Hi 75             
 886 122.    Hi 75             
 887 123.    Hi 75 m           
 888 124.    Hi 75             
 889 125.    Hi 75             
 890 126.    Hi 75             
 891 127.    Hi 75             
 892 128.    Hi 75             
 893 129.    Hi 75 m           
 894 130.    Hi 75             
 895 131.    Hi 75             
 896 132.    Hi 75 m           
 897 133.    Hi 75             
 898 134.    Hi 75             
 899 135.    Hi 75             
 900 136.    Hi 75             
 901 137.    Hi 75             
 902 138.    Hi 75             
 903 139.    Hi 75             
 904 140.    Hi 75             
 905 141.    Hi 75             
 906 142.    Hi 75             
 907 143.    Hi 75             
 908 144.    Hi 75             
 909 145.    Hi 75             
 910 146.    Hi 75             
 911 147.    Hi 75 m           
 912 148.    Hi 75             
 913 149.    Hi 75             
 914 152.    Hi 75             
 915   2.    Hi 75 m           
 916   3.    Hi 75             
 917   4.    Hi 75             
 918   5.    Hi 75             
 919   6.    Hi 75             
 920   7.    Hi 75             
 921   8.    Hi 75             
 922   9.    Hi 75             
 923  10.    Hi 75             
 924  11.    Hi 75             
 925  12.    Hi 75 m           
 926  13.    Hi 75             
 927  14.    Hi 75             
 928  15.    Hi 75             
 929  16.    Hi 75 m           
 930  17.    Hi 75             
 931  18.    Hi 75             
 932  19.    Hi 75             
 933  20.    Hi 75             
 934  21.    Hi 75             
 935  22.    Hi 75             
 936  23.    Hi 75             
 937  24.    Hi 75             
 938  25.    Hi 75             
 939  26.    Hi 75             
 940  27.    Hi 75             
 941  28.    Hi 75 m           
 942  29.    Hi 75             
 943  30.    Hi 75             
 944  31.    Hi 75             
 945  32.    Hi 75 m           
 946  33.    Hi 75             
 947  34.    Hi 75             
 948  35.    Hi 75             
 949  36.    Hi 75             
 950  37.    Hi 75             
 951  38.    Hi 75             
 952  39.    Hi 75             
 953  40.    Hi 75 m           
 954  41.    Hi 75             
 955  42.    Hi 75             
